Sigla,Codigo,Municipio,Numero de suicidios,Numero de suicidios do sexo feminino,Numero de suicidios de jovens de 15 a 29 anos,Numero de suicidios do sexo masculino,Taxa de suicidios(100.000 Habitantes),Taxa de suicidios do sexo feminino(100.000 Habitantes) ,Taxa de suicidios de jovens de 15 a 29 anos do sexo feminino(100.000 Habitantes) ,Taxa de suicidios de jovens(100.000 Habitantes),Taxa de suicidios do sexo masculino(100.000 Habitantes),Taxa de suicidios de jovens de 15 a 29 anos do sexo masculino(100.000 Habitantes),ano,IDHM (2000),IDHM (2010),IDHM Renda (2010),IDHM Longevidade (2010),IDHM Educacao (2010)
RN,2409209,Passagem,,,,,,,,,,,2005,464,589,547,747,501
RN,2409308,Patu,1,,,1,9.25,,,,18.91,,2005,515,618,599,768,513
RN,2409407,Pau dos Ferros,3,,1,3,11.02,,,13.14,22.89,27.66,2005,584,678,666,803,584
RN,2409506,Pedra Grande,,,,,,,,,,,2005,419,559,526,773,430
RN,2409605,Pedra Preta,,,,,,,,,,,2005,388,558,530,752,435
RN,2409704,Pedro Avelino,,,,,,,,,,,2005,469,583,577,788,435
RN,2409803,Pedro Velho,,,,,,,,,,,2005,427,568,562,738,442
RN,2409902,Pendências,,,,,,,,,,,2005,493,631,633,753,526
RN,2410009,Pilões,,,,,,,,,,,2005,443,614,566,777,527
RN,2410108,Poço Branco,,,,,,,,,,,2005,426,587,562,766,471
RN,2410207,Portalegre,,,,,,,,,,,2005,452,621,581,754,547
RN,2410256,Porto do Mangue,,,,,,,,,,,2005,395,590,558,732,504
RN,2410306,Presidente Juscelino,,,,,,,,,,,2005,444,563,552,713,453
RN,2410405,Pureza,,,,,,,,,,,2005,431,567,516,774,456
RN,2410504,Rafael Fernandes,1,,,1,20.76,,,,41.10,,2005,489,608,588,737,518
RN,2410603,Rafael Godeiro,,,,,,,,,,,2005,501,654,583,789,607
RN,2410702,Riacho da Cruz,,,,,,,,,,,2005,443,584,545,751,487
RN,2410801,Riacho de Santana,1,,1,1,23.06,,,87.26,46.88,172.41,2005,441,591,545,776,489
RN,2410900,Riachuelo,,,,,,,,,,,2005,459,592,561,767,481
RN,2408953,Rio do Fogo,,,,,,,,,,,2005,398,569,546,738,457
RN,2411007,Rodolfo Fernandes,,,,,,,,,,,2005,496,604,561,758,519
RN,2411106,Ruy Barbosa,,,,,,,,,,,2005,410,605,548,780,517
RN,2411205,Santa Cruz,2,1,,1,6.07,5.91,,,6.24,,2005,513,635,597,761,564
RN,2409332,Santa Maria,1,,,1,22.88,,,,44.90,,2005,408,590,554,779,477
RN,2411403,Santana do Matos,,,,,,,,,,,2005,431,591,559,767,482
RN,2411429,Santana do Seridó,,,,,,,,,,,2005,526,642,595,767,580
RN,2411502,Santo Antônio,4,,2,4,19.36,,,35.16,38.75,68.82,2005,483,620,595,782,512
RN,2411601,São Bento do Norte,,,,,,,,,,,2005,458,555,541,760,415
RN,2411700,São Bento do Trairí,,,,,,,,,,,2005,445,595,526,763,525
RN,2411809,São Fernando,,,,,,,,,,,2005,498,608,591,750,508
RN,2411908,São Francisco do Oeste,,,,,,,,,,,2005,484,628,581,779,547
RN,2412005,São Gonçalo do Amarante,,,,,,,,,,,2005,524,661,619,829,564
RN,2412104,São João do Sabugi,1,,,1,17.14,,,,34.27,,2005,533,655,620,779,581
RN,2412203,São José de Mipibu,1,1,1,,2.55,5.08,18.32,9.15,,,2005,494,611,599,748,508
RN,2412302,São José do Campestre,1,,,1,8.28,,,,16.64,,2005,448,615,564,789,522
RN,2412401,São José do Seridó,,,,,,,,,,,2005,588,694,634,815,647
RN,2412500,São Miguel,1,1,,,4.71,8.96,,,,,2005,451,606,574,747,518
RN,2412559,São Miguel de Touros,,,,,,,,,,,2005,403,591,558,790,468
RN,2412609,São Paulo do Potengi,,,,,,,,,,,2005,475,622,584,744,555
RN,2412708,São Pedro,,,,,,,,,,,2005,392,589,574,794,449
RN,2412807,São Rafael,,,,,,,,,,,2005,469,611,588,787,493
RN,2412906,São Tomé,1,,,1,9.64,,,,19.47,,2005,432,585,565,770,461
RN,2413003,São Vicente,,,,,,,,,,,2005,492,642,606,787,556
RN,2413102,Senador Elói de Souza,1,,,1,18.25,,,,35.52,,2005,434,583,523,752,504
RN,2413201,Senador Georgino Avelino,,,,,,,,,,,2005,486,570,543,748,455
RN,2413300,Serra de São Bento,1,,,1,17.84,,,,35.68,,2005,417,582,551,741,482
RN,2413359,Serra do Mel,,,,,,,,,,,2005,463,614,574,773,521
RN,2413409,Serra Negra do Norte,,,,,,,,,,,2005,454,597,578,787,468
RN,2413508,Serrinha,,,,,,,,,,,2005,402,592,547,757,502
RN,2413557,Serrinha dos Pintos,,,,,,,,,,,2005,460,598,555,782,492
RN,2413607,Severiano Melo,,,,,,,,,,,2005,469,604,579,728,522
RN,2413706,Sítio Novo,,,,,,,,,,,2005,410,572,528,722,491
RN,2413805,Taboleiro Grande,1,,,1,50.00,,,,99.80,,2005,491,612,570,792,507
RN,2413904,Taipu,,,,,,,,,,,2005,396,569,544,778,435
RN,2414001,Tangará,1,,,1,7.51,,,,14.87,,2005,454,608,566,770,516
RN,2414100,Tenente Ananias,,,,,,,,,,,2005,405,592,570,779,468
RN,2414159,Tenente Laurentino Cruz,,,,,,,,,,,2005,462,623,559,737,586
RN,2411056,Tibau,,,,,,,,,,,2005,503,635,627,769,530
RN,2414209,Tibau do Sul,4,,3,4,45.11,,,110.54,88.22,208.91,2005,511,645,672,794,504
RN,2414308,Timbaúba dos Batistas,,,,,,,,,,,2005,546,640,614,723,591
RN,2414407,Touros,3,,2,3,9.36,,,22.32,18.33,42.96,2005,404,572,562,716,466
RN,2414456,Triunfo Potiguar,,,,,,,,,,,2005,393,602,579,730,516
RN,2414506,Umarizal,,,,,,,,,,,2005,482,618,590,792,506
RN,2414605,Upanema,,,,,,,,,,,2005,416,596,542,758,516
RN,2414704,Várzea,,,,,,,,,,,2005,437,626,577,771,552
RN,2414753,Venha-Ver,,,,,,,,,,,2005,334,555,501,722,473
RN,2414803,Vera Cruz,2,,,2,22.55,,,,45.14,,2005,466,587,558,735,494
RN,2414902,Viçosa,1,,,1,60.50,,,,120.34,,2005,468,592,552,747,502
RN,2415008,Vila Flor,,,,,,,,,,,2005,418,576,561,722,471
RO,1100015,Alta Floresta D'Oeste,,,,,,,,,,,2005,483,641,657,763,526
RO,1100379,Alto Alegre dos Parecis,,,,,,,,,,,2005,402,592,603,777,443
RO,1100403,Alto Paraíso,,,,,,,,,,,2005,446,625,664,804,457
RO,1100346,Alvorada D'Oeste,,,,,,,,,,,2005,469,643,654,763,534
RO,1100023,Ariquemes,3,,2,3,3.53,,,7.87,6.92,16.09,2005,556,702,716,806,600
RO,1100452,Buritis,1,,,1,2.49,,,,4.64,,2005,415,616,650,751,479
RO,1100031,Cabixi,,,,,,,,,,,2005,488,650,650,757,559
RO,1100601,Cacaulândia,,,,,,,,,,,2005,454,646,664,801,506
RO,1100049,Cacoal,2,1,1,1,2.63,2.66,8.77,4.43,2.60,,2005,567,718,727,821,620
RO,1100700,Campo Novo de Rondônia,1,,1,1,5.71,,,19.14,10.42,35.78,2005,432,593,667,772,404
RO,1100809,Candeias do Jamari,,,,,,,,,,,2005,478,649,652,819,512
RO,1100908,Castanheiras,1,1,1,,24.33,52.16,183.15,86.81,,,2005,498,658,650,803,547
RO,1100056,Cerejeiras,,,,,,,,,,,2005,542,692,688,799,602
RO,1100924,Chupinguaia,,,,,,,,,,,2005,479,652,659,820,514
RO,1100064,Colorado do Oeste,4,3,2,1,21.18,32.35,72.46,36.36,10.41,,2005,545,685,676,814,584
RO,1100072,Corumbiara,,,,,,,,,,,2005,401,613,630,774,473
RO,1100080,Costa Marques,3,1,1,2,26.43,18.94,67.29,31.27,32.96,,2005,486,611,616,751,493
RO,1100940,Cujubim,1,,,1,11.33,,,,20.54,,2005,425,612,663,789,439
RO,1100098,Espigão D'Oeste,,,,,,,,,,,2005,501,672,691,819,536
RO,1101005,Governador Jorge Teixeira,,,,,,,,,,,2005,380,596,627,762,444
RO,1100106,Guajará-Mirim,2,,2,2,4.82,,,16.31,9.62,33.07,2005,573,657,663,823,519
RO,1101104,Itapuã do Oeste,,,,,,,,,,,2005,478,614,633,751,488
RO,1100114,Jaru,2,,,2,3.58,,,,6.99,,2005,514,689,687,825,577
RO,1100122,Ji-Paraná,4,,1,4,3.56,,,2.95,7.14,6.08,2005,564,714,728,810,617
RO,1100130,Machadinho D'Oeste,1,,,1,3.49,,,,6.45,,2005,449,596,629,755,446
RO,1101203,Ministro Andreazza,,,,,,,,,,,2005,467,638,647,776,518
RO,1101302,Mirante da Serra,1,,1,1,7.14,,,24.17,13.65,47.42,2005,470,643,673,800,494
RO,1101401,Monte Negro,1,,,1,6.16,,,,11.49,,2005,435,607,645,762,454
RO,1100148,Nova Brasilândia D'Oeste,1,,,1,5.60,,,,10.52,,2005,459,643,664,763,524
RO,1100338,Nova Mamoré,1,,1,1,5.13,,,16.46,9.63,31.52,2005,446,587,619,769,424
RO,1101435,Nova União,1,1,,,10.72,23.11,,,,,2005,405,587,608,753,442
RO,1100502,Novo Horizonte do Oeste,,,,,,,,,,,2005,442,634,606,799,527
RO,1100155,Ouro Preto do Oeste,,,,,,,,,,,2005,533,682,687,812,569
RO,1101450,Parecis,,,,,,,,,,,2005,412,617,604,800,485
RO,1100189,Pimenta Bueno,3,,1,3,9.53,,,10.80,18.82,21.94,2005,573,710,726,803,613
RO,1101468,Pimenteiras do Oeste,,,,,,,,,,,2005,524,665,662,816,545
RO,1100205,Porto Velho,18,2,10,16,4.81,1.07,,8.84,8.59,18.16,2005,613,736,764,819,638
RO,1100254,Presidente Médici,,,,,,,,,,,2005,485,664,671,792,550
RO,1101476,Primavera de Rondônia,,,,,,,,,,,2005,439,641,645,799,512
RO,1100262,Rio Crespo,,,,,,,,,,,2005,441,643,637,813,513
RO,1100288,Rolim de Moura,,,,,,,,,,,2005,559,700,709,808,598
RO,1100296,Santa Luzia D'Oeste,,,,,,,,,,,2005,482,670,657,812,564
RO,1101484,São Felipe D'Oeste,,,,,,,,,,,2005,466,649,615,780,571
RO,1101492,São Francisco do Guaporé,1,,,1,5.97,,,,11.08,,2005,434,611,657,751,462
RO,1100320,São Miguel do Guaporé,2,,,2,6.65,,,,12.54,,2005,409,646,644,781,537
RO,1101500,Seringueiras,3,1,1,2,19.31,13.91,46.86,21.92,23.96,,2005,439,598,644,779,427
RO,1101559,Teixeirópolis,,,,,,,,,,,2005,440,643,653,818,498
RO,1101609,Theobroma,1,,1,1,7.23,,,23.39,13.21,42.55,2005,402,589,622,757,434
RO,1101708,Urupá,,,,,,,,,,,2005,424,609,621,772,471
RO,1101757,Vale do Anari,,,,,,,,,,,2005,409,584,626,756,421
RO,1101807,Vale do Paraíso,2,,,2,19.32,,,,35.92,,2005,438,627,641,792,485
RO,1100304,Vilhena,4,3,2,1,6.26,9.35,20.65,10.62,3.14,,2005,620,731,734,808,659
RR,1400050,Alto Alegre,,,,,,,,,,,2005,460,542,518,813,379
RR,1400027,Amajari,3,1,2,2,49.29,36.97,142.25,136.52,59.14,131.23,2005,420,484,437,815,319
RR,1400100,Boa Vista,14,1,8,13,5.78,0.83,2.56,10.52,10.73,18.97,2005,649,752,737,816,708
RR,1400159,Bonfim,2,,2,2,15.84,,,60.68,30.42,117.37,2005,458,626,597,809,509
RR,1400175,Cantá,1,1,1,,9.54,21.32,82.71,37.22,,,2005,499,619,581,803,509
RR,1400209,Caracaraí,1,,,1,5.64,,,,10.66,,2005,521,624,601,780,518
RR,1400233,Caroebe,,,,,,,,,,,2005,492,639,600,791,549
RR,1400282,Iracema,,,,,,,,,,,2005,518,582,560,810,434
RR,1400308,Mucajaí,,,,,,,,,,,2005,550,665,661,813,547
RR,1400407,Normandia,,,,,,,,,,,2005,373,594,520,801,502
RR,1400456,Pacaraima,,,,,,,,,,,2005,544,650,624,788,558
RR,1400472,Rorainópolis,1,,,1,4.06,,,,7.69,,2005,501,619,574,798,519
RR,1400506,São João da Baliza,2,1,,1,36.81,39.51,,,34.46,,2005,538,655,614,780,587
RR,1400605,São Luiz,,,,,,,,,,,2005,545,649,605,788,574
RR,1400704,Uiramutã,3,2,1,1,46.67,65.17,128.87,61.43,29.77,,2005,333,453,439,766,276
RS,4300034,Aceguá,,,,,,,,,,,2005,621,687,703,852,541
RS,4300059,Água Santa,,,,,,,,,,,2005,630,750,840,850,590
RS,4300109,Agudo,4,1,1,3,22.33,11.26,,22.79,33.20,44.60,2005,593,694,752,847,524
RS,4300208,Ajuricaba,2,1,,1,26.80,26.99,,,26.60,,2005,646,753,763,850,658
RS,4300307,Alecrim,2,1,2,1,26.79,27.14,138.70,130.63,26.45,123.46,2005,548,672,683,852,522
RS,4300406,Alegrete,7,3,1,4,7.97,6.79,,4.46,9.16,8.67,2005,641,740,720,849,664
RS,4300455,Alegria,2,,,2,41.51,,,,81.50,,2005,578,695,717,818,572
RS,4300471,Almirante Tamandaré do Sul,,,,,,,,,,,2005,601,740,732,828,669
RS,4300505,Alpestre,1,,,1,12.20,,,,23.82,,2005,524,671,700,795,543
RS,4300554,Alto Alegre,1,,1,1,46.79,,,202.43,92.59,383.14,2005,662,747,756,859,642
RS,4300570,Alto Feliz,1,,,1,34.99,,,,67.89,,2005,640,734,740,886,603
RS,4300604,Alvorada,12,2,1,10,5.71,1.87,,1.76,9.68,3.52,2005,582,699,694,874,564
RS,4300638,Amaral Ferrador,2,,1,2,35.55,,,69.74,68.40,132.80,2005,507,624,664,802,457
RS,4300646,Ametista do Sul,1,,,1,12.44,,,,23.61,,2005,539,682,697,809,562
RS,4300661,André da Rocha,,,,,,,,,,,2005,591,720,738,837,605
RS,4300703,Anta Gorda,,,,,,,,,,,2005,642,740,742,868,630
RS,4300802,Antônio Prado,1,,,1,7.08,,,,14.12,,2005,683,758,777,835,671
RS,4300851,Arambaré,,,,,,,,,,,2005,560,691,694,833,570
RS,4300877,Araricá,,,,,,,,,,,2005,565,679,696,824,547
RS,4300901,Aratiba,1,,,1,15.16,,,,29.56,,2005,615,772,801,856,670
RS,4301008,Arroio do Meio,2,,1,2,10.91,,,22.54,21.76,43.67,2005,690,769,750,860,706
RS,4301073,Arroio do Padre,,,,,,,,,,,2005,560,669,756,860,461
RS,4301057,Arroio do Sal,2,1,1,1,29.96,30.14,129.87,65.23,29.78,,2005,664,740,740,844,649
RS,4301206,Arroio do Tigre,3,2,,1,24.11,32.76,,,15.78,,2005,568,707,708,848,589
RS,4301107,Arroio dos Ratos,,,,,,,,,,,2005,610,698,700,833,583
RS,4301305,Arroio Grande,1,,,1,5.06,,,,9.94,,2005,588,657,673,807,522
RS,4301404,Arvorezinha,1,,,1,9.48,,,,18.85,,2005,593,694,713,817,575
RS,4301503,Augusto Pestana,5,,1,5,64.59,,,57.90,129.94,115.34,2005,635,743,779,847,621
RS,4301552,Áurea,,,,,,,,,,,2005,582,707,715,841,588
RS,4301602,Bagé,4,,1,4,3.30,,,3.37,6.87,6.76,2005,659,740,739,848,647
RS,4301636,Balneário Pinhal,1,1,,,10.33,20.68,,,,,2005,618,696,710,836,567
RS,4301651,Barão,1,,,1,18.78,,,,36.42,,2005,622,748,767,836,652
RS,4301701,Barão de Cotegipe,,,,,,,,,,,2005,633,719,745,842,593
RS,4301750,Barão do Triunfo,1,,,1,13.98,,,,25.97,,2005,482,610,645,821,428
RS,4301859,Barra do Guarita,,,,,,,,,,,2005,559,734,696,845,672
RS,4301875,Barra do Quaraí,1,,1,1,23.44,,,89.45,43.86,166.11,2005,549,662,659,802,548
RS,4301909,Barra do Ribeiro,,,,,,,,,,,2005,619,670,691,822,529
RS,4301925,Barra do Rio Azul,,,,,,,,,,,2005,561,723,703,842,638
RS,4301958,Barra Funda,,,,,,,,,,,2005,666,763,731,856,710
RS,4301800,Barracão,,,,,,,,,,,2005,566,710,711,885,568
RS,4302006,Barros Cassal,2,,,2,18.62,,,,35.87,,2005,511,650,690,795,500
RS,4302055,Benjamin Constant do Sul,2,1,1,1,79.97,81.37,367.65,176.99,78.62,,2005,450,619,601,801,492
RS,4302105,Bento Gonçalves,12,2,4,10,11.71,3.85,7.49,14.68,19.78,21.59,2005,712,778,805,842,695
RS,4302154,Boa Vista das Missões,,,,,,,,,,,2005,605,676,666,825,561
RS,4302204,Boa Vista do Buricá,,,,,,,,,,,2005,669,762,761,834,697
RS,4302220,Boa Vista do Cadeado,,,,,,,,,,,2005,585,703,692,851,590
RS,4302238,Boa Vista do Incra,,,,,,,,,,,2005,643,731,703,867,641
RS,4302253,Boa Vista do Sul,2,,1,2,68.99,,,162.34,131.32,300.30,2005,655,728,770,852,587
RS,4302303,Bom Jesus,1,,1,1,8.92,,,37.62,18.08,76.80,2005,541,666,697,832,510
RS,4302352,Bom Princípio,1,1,,,9.29,19.03,,,,,2005,670,746,751,836,661
RS,4302378,Bom Progresso,,,,,,,,,,,2005,566,723,700,840,643
RS,4302402,Bom Retiro do Sul,3,,1,3,25.40,,,33.84,50.84,65.49,2005,639,739,725,857,649
RS,4302451,Boqueirão do Leão,3,1,,2,36.95,25.34,,,47.94,,2005,563,700,725,843,562
RS,4302501,Bossoroca,2,,,2,26.16,,,,50.98,,2005,586,692,665,821,608
RS,4302584,Bozano,,,,,,,,,,,2005,615,745,773,853,628
RS,4302600,Braga,1,1,,,26.71,53.19,,,,,2005,553,674,656,830,563
RS,4302659,Brochier,3,1,,2,65.66,45.45,,,84.42,,2005,566,699,723,851,554
RS,4302709,Butiá,1,,,1,4.69,,,,9.45,,2005,579,689,691,848,558
RS,4302808,Caçapava do Sul,5,,,5,14.43,,,,29.43,,2005,599,704,699,855,585
RS,4302907,Cacequi,3,,1,3,20.02,,,28.56,40.12,55.52,2005,580,700,680,807,626
RS,4303004,Cachoeira do Sul,8,1,2,7,8.95,2.18,,9.36,16.11,18.32,2005,661,742,739,854,648
RS,4303103,Cachoeirinha,10,2,3,8,8.35,3.26,,9.48,13.70,19.21,2005,672,757,749,857,675
RS,4303202,Cacique Doble,,,,,,,,,,,2005,576,662,677,810,528
RS,4303301,Caibaté,,,,,,,,,,,2005,614,719,709,857,611
RS,4303400,Caiçara,1,,,1,19.26,,,,37.24,,2005,612,699,721,817,580
RS,4303509,Camaquã,5,1,,4,7.84,3.12,,,12.63,,2005,609,697,715,819,578
RS,4303558,Camargo,,,,,,,,,,,2005,661,736,762,854,612
RS,4303608,Cambará do Sul,,,,,,,,,,,2005,564,697,705,838,574
RS,4303673,Campestre da Serra,,,,,,,,,,,2005,622,706,713,886,557
RS,4303707,Campina das Missões,3,2,,1,45.93,62.38,,,30.07,,2005,607,738,698,849,677
RS,4303806,Campinas do Sul,,,,,,,,,,,2005,665,760,753,842,691
RS,4303905,Campo Bom,2,,,2,3.46,,,,7.00,,2005,669,745,755,852,643
RS,4304002,Campo Novo,2,,,2,31.21,,,,62.99,,2005,568,703,677,866,593
RS,4304101,Campos Borges,2,,1,2,53.59,,,106.27,104.55,206.19,2005,560,708,704,819,616
RS,4304200,Candelária,5,1,,4,16.23,6.40,,,26.35,,2005,561,674,699,842,521
RS,4304309,Cândido Godói,1,,,1,15.13,,,,29.71,,2005,647,728,720,853,627
RS,4304358,Candiota,,,,,,,,,,,2005,622,698,704,860,562
RS,4304408,Canela,3,,1,3,7.66,,,9.60,15.59,19.24,2005,638,748,738,849,667
RS,4304507,Canguçu,8,,1,8,15.35,,,8.03,30.13,15.43,2005,516,650,683,819,491
RS,4304606,Canoas,14,2,5,12,4.25,1.18,,5.75,7.50,11.49,2005,665,750,768,864,636
RS,4304614,Canudos do Vale,,,,,,,,,,,2005,556,713,751,840,574
RS,4304622,Capão Bonito do Sul,,,,,,,,,,,2005,531,637,654,779,507
RS,4304630,Capão da Canoa,1,,,1,2.67,,,,5.40,,2005,639,743,756,852,637
RS,4304655,Capão do Cipó,,,,,,,,,,,2005,561,672,639,860,552
RS,4304663,Capão do Leão,2,,,2,7.48,,,,15.03,,2005,542,637,662,814,480
RS,4304689,Capela de Santana,,,,,,,,,,,2005,534,661,675,816,525
RS,4304697,Capitão,,,,,,,,,,,2005,614,746,747,842,661
RS,4304671,Capivari do Sul,2,,,2,57.47,,,,112.74,,2005,658,766,805,836,668
RS,4304713,Caraá,1,,,1,15.00,,,,27.75,,2005,508,652,661,830,505
RS,4304705,Carazinho,10,3,1,7,16.31,9.46,,6.47,23.65,13.01,2005,678,766,756,840,707
RS,4304804,Carlos Barbosa,2,,1,2,8.64,,,16.63,17.13,32.61,2005,724,796,835,835,724
RS,4304853,Carlos Gomes,,,,,,,,,,,2005,596,739,732,886,622
RS,4304903,Casca,3,1,1,2,34.33,22.73,,51.15,46.09,100.20,2005,688,785,778,847,733
RS,4304952,Caseiros,,,,,,,,,,,2005,590,703,696,833,600
RS,4305009,Catuípe,1,,,1,10.26,,,,20.52,,2005,635,739,763,842,627
RS,4305108,Caxias do Sul,50,6,19,44,12.37,2.92,3.72,17.42,22.17,30.75,2005,705,782,812,860,686
RS,4305116,Centenário,,,,,,,,,,,2005,545,701,707,856,569
RS,4305124,Cerrito,,,,,,,,,,,2005,574,649,657,824,504
RS,4305132,Cerro Branco,,,,,,,,,,,2005,544,661,671,816,527
RS,4305157,Cerro Grande,,,,,,,,,,,2005,557,674,676,803,563
RS,4305173,Cerro Grande do Sul,,,,,,,,,,,2005,513,660,673,855,499
RS,4305207,Cerro Largo,6,1,1,5,48.86,15.97,,35.71,83.04,70.87,2005,664,764,752,849,698
RS,4305306,Chapada,2,,,2,21.14,,,,43.05,,2005,642,757,752,849,679
RS,4305355,Charqueadas,2,,,2,6.02,,,,11.16,,2005,649,747,726,870,659
RS,4305371,Charrua,1,1,1,,26.78,53.42,233.10,115.74,,,2005,501,620,699,885,385
RS,4305405,Chiapetta,1,,,1,22.03,,,,43.50,,2005,606,732,702,850,657
RS,4305439,Chuí,1,,,1,15.67,,,,31.41,,2005,654,706,676,792,658
RS,4305447,Chuvisca,,,,,,,,,,,2005,481,616,655,818,437
RS,4305454,Cidreira,,,,,,,,,,,2005,640,729,730,848,625
RS,4305504,Ciríaco,1,,,1,20.50,,,,39.95,,2005,595,719,724,855,600
RS,4305587,Colinas,1,,,1,41.89,,,,83.68,,2005,625,765,786,840,678
RS,4305603,Colorado,1,,,1,25.85,,,,52.55,,2005,665,758,775,835,674
RS,4305702,Condor,,,,,,,,,,,2005,609,747,735,852,666
RS,4305801,Constantina,2,,1,2,21.09,,,43.61,42.02,87.80,2005,630,754,726,885,668
RS,4305835,Coqueiro Baixo,1,1,,,64.31,130.72,,,,,2005,582,692,703,886,532
RS,4305850,Coqueiros do Sul,1,,,1,38.90,,,,76.22,,2005,601,746,806,840,614
RS,4305871,Coronel Barros,,,,,,,,,,,2005,612,744,793,852,610
RS,4305900,Coronel Bicaco,,,,,,,,,,,2005,579,665,667,803,550
RS,4305934,Coronel Pilar,,,,,,,,,,,2005,602,727,766,835,600
RS,4305959,Cotiporã,1,,,1,24.69,,,,47.89,,2005,645,741,767,835,636
RS,4305975,Coxilha,,,,,,,,,,,2005,594,706,693,866,586
RS,4306007,Crissiumal,1,,,1,7.34,,,,14.90,,2005,589,712,702,835,616
RS,4306056,Cristal,2,,,2,28.65,,,,57.18,,2005,537,644,687,826,471
RS,4306072,Cristal do Sul,,,,,,,,,,,2005,516,660,641,826,542
RS,4306106,Cruz Alta,4,,1,4,5.81,,,5.66,12.16,11.35,2005,679,750,754,858,653
RS,4306130,Cruzaltense,,,,,,,,,,,2005,582,719,724,849,605
RS,4306205,Cruzeiro do Sul,2,,,2,16.25,,,,32.63,,2005,637,723,746,833,607
RS,4306304,David Canabarro,2,1,1,1,41.76,42.74,179.53,90.42,40.83,,2005,629,762,740,870,688
RS,4306320,Derrubadas,1,1,,,30.90,63.13,,,,,2005,573,707,664,846,628
RS,4306353,Dezesseis de Novembro,,,,,,,,,,,2005,529,654,625,809,553
RS,4306379,Dilermando de Aguiar,,,,,,,,,,,2005,558,648,681,864,463
RS,4306403,Dois Irmãos,5,,2,5,18.33,,,23.85,36.33,45.92,2005,676,743,763,848,633
RS,4306429,Dois Irmãos das Missões,,,,,,,,,,,2005,559,670,646,797,585
RS,4306452,Dois Lajeados,,,,,,,,,,,2005,694,757,775,837,670
RS,4306502,Dom Feliciano,2,,,2,13.91,,,,26.81,,2005,470,587,633,818,390
RS,4306601,Dom Pedrito,6,,,6,14.32,,,,29.26,,2005,621,708,715,848,585
RS,4306551,Dom Pedro de Alcântara,,,,,,,,,,,2005,572,691,697,820,577
RS,4306700,Dona Francisca,1,,,1,24.38,,,,49.33,,2005,605,697,718,831,568
RS,4306734,Doutor Maurício Cardoso,,,,,,,,,,,2005,650,706,707,840,593
RS,4306759,Doutor Ricardo,,,,,,,,,,,2005,575,724,749,855,593
RS,4306767,Eldorado do Sul,2,,,2,6.01,,,,11.98,,2005,620,717,717,844,609
RS,4306809,Encantado,1,,1,1,5.05,,,20.82,10.40,41.14,2005,700,767,764,858,687
RS,4306908,Encruzilhada do Sul,5,,,5,19.89,,,,39.46,,2005,551,657,677,875,478
RS,4306924,Engenho Velho,1,,,1,57.34,,,,116.96,,2005,533,717,735,821,611
RS,4306957,Entre Rios do Sul,,,,,,,,,,,2005,595,703,709,857,572
RS,4306932,Entre-Ijuís,2,,1,2,20.96,,,43.31,41.96,86.73,2005,589,680,692,829,548
RS,4306973,Erebango,,,,,,,,,,,2005,606,712,689,837,626
RS,4307005,Erechim,19,6,5,13,19.33,11.79,7.20,18.54,27.42,30.59,2005,696,776,782,833,716
RS,4307054,Ernestina,,,,,,,,,,,2005,642,716,703,854,612
RS,4307203,Erval Grande,1,,,1,21.60,,,,42.52,,2005,560,681,713,885,501
RS,4307302,Erval Seco,,,,,,,,,,,2005,538,685,666,821,589
RS,4307401,Esmeralda,1,,,1,33.04,,,,64.31,,2005,538,680,669,827,569
RS,4307450,Esperança do Sul,,,,,,,,,,,2005,498,661,665,788,550
RS,4307500,Espumoso,,,,,,,,,,,2005,653,765,747,884,677
RS,4307559,Estação,1,,,1,15.00,,,,30.30,,2005,662,753,752,843,674
RS,4307609,Estância Velha,3,1,2,2,7.60,5.06,,19.22,10.15,38.38,2005,674,757,749,887,652
RS,4307708,Esteio,3,1,3,2,3.49,2.27,8.87,13.23,4.78,17.55,2005,693,754,769,843,662
RS,4307807,Estrela,2,,,2,6.84,,,,13.92,,2005,676,767,776,850,684
RS,4307815,Estrela Velha,,,,,,,,,,,2005,535,679,707,792,560
RS,4307831,Eugênio de Castro,1,,,1,31.56,,,,63.78,,2005,621,712,697,885,584
RS,4307864,Fagundes Varela,1,,,1,41.36,,,,80.71,,2005,633,763,773,852,674
RS,4307906,Farroupilha,4,,1,4,6.47,,,6.20,13.06,12.36,2005,691,777,783,861,696
RS,4308003,Faxinal do Soturno,,,,,,,,,,,2005,643,720,732,854,597
RS,4308052,Faxinalzinho,1,,,1,35.42,,,,69.98,,2005,574,666,646,801,571
RS,4308078,Fazenda Vilanova,1,,,1,31.70,,,,62.42,,2005,548,698,726,841,557
RS,4308102,Feliz,2,1,,1,15.72,15.73,,,15.72,,2005,659,750,758,847,658
RS,4308201,Flores da Cunha,2,1,1,1,7.27,7.42,,13.99,7.13,26.80,2005,674,754,786,849,642
RS,4308250,Floriano Peixoto,1,,,1,45.11,,,,86.43,,2005,532,663,701,854,486
RS,4308300,Fontoura Xavier,2,1,,1,18.05,18.69,,,17.45,,2005,504,661,668,812,532
RS,4308409,Formigueiro,1,,,1,13.26,,,,25.93,,2005,579,682,690,838,549
RS,4308433,Forquetinha,,,,,,,,,,,2005,553,683,743,886,484
RS,4308458,Fortaleza dos Valos,2,,1,2,38.14,,,78.62,76.60,154.32,2005,658,756,779,837,663
