Sigla,Codigo,Municipio,Numero de suicidios,Numero de suicidios do sexo feminino,Numero de suicidios de jovens de 15 a 29 anos,Numero de suicidios do sexo masculino,Taxa de suicidios(100.000 Habitantes),Taxa de suicidios do sexo feminino(100.000 Habitantes) ,Taxa de suicidios de jovens de 15 a 29 anos do sexo feminino(100.000 Habitantes) ,Taxa de suicidios de jovens(100.000 Habitantes),Taxa de suicidios do sexo masculino(100.000 Habitantes),Taxa de suicidios de jovens de 15 a 29 anos do sexo masculino(100.000 Habitantes),ano,IDHM (2000),IDHM (2010),IDHM Renda (2010),IDHM Longevidade (2010),IDHM Educacao (2010)
BA,2900702,Alagoinhas,1,,,1,0.76,,,,1.60,,2001,550,683,681,790,592
BA,2900801,Alcobaça,,,,,,,,,,,2001,453,608,611,771,476
BA,2900900,Almadina,,,,,,,,,,,2001,405,563,563,751,421
BA,2901007,Amargosa,4,,2,4,12.87,,,22.51,26.43,45.84,2001,487,625,616,807,492
BA,2901106,Amélia Rodrigues,,,,,,,,,,,2001,513,666,609,810,600
BA,2901155,América Dourada,1,,,1,6.27,,,,12.26,,2001,391,561,506,751,464
BA,2901205,Anagé,1,,,1,2.46,,,,4.79,,2001,308,540,549,771,371
BA,2901304,Andaraí,,,,,,,,,,,2001,375,555,540,764,415
BA,2901353,Andorinha,,,,,,,,,,,2001,383,588,586,731,474
BA,2901403,Angical,,,,,,,,,,,2001,426,625,564,778,556
BA,2901502,Anguera,,,,,,,,,,,2001,427,589,565,766,471
BA,2901601,Antas,,,,,,,,,,,2001,444,592,573,739,491
BA,2901700,Antônio Cardoso,,,,,,,,,,,2001,395,561,544,768,422
BA,2901809,Antônio Gonçalves,,,,,,,,,,,2001,422,598,580,741,498
BA,2901908,Aporá,,,,,,,,,,,2001,398,548,516,751,425
BA,2901957,Apuarema,1,,,1,13.61,,,,25.71,,2001,386,552,555,735,413
BA,2902054,Araças,,,,,,,,,,,2001,363,570,540,744,462
BA,2902005,Aracatu,1,,,1,6.46,,,,12.65,,2001,342,581,591,754,439
BA,2902104,Araci,,,,,,,,,,,2001,362,534,534,747,381
BA,2902203,Aramari,,,,,,,,,,,2001,454,588,568,761,470
BA,2902252,Arataca,,,,,,,,,,,2001,372,559,557,758,413
BA,2902302,Aratuípe,,,,,,,,,,,2001,435,575,570,753,443
BA,2902401,Aurelino Leal,,,,,,,,,,,2001,365,568,555,759,434
BA,2902500,Baianópolis,,,,,,,,,,,2001,383,589,543,763,492
BA,2902609,Baixa Grande,,,,,,,,,,,2001,422,585,549,775,471
BA,2902658,Banzaê,,,,,,,,,,,2001,393,579,539,769,468
BA,2999929,Barcellos,,,,,,,,,,,2001,378,557,503,750,457
BA,2902708,Barra,,,,,,,,,,,2001,412,575,566,717,469
BA,2902807,Barra da Estiva,1,,,1,3.96,,,,7.88,,2001,316,551,563,770,386
BA,2902906,Barra do Choça,2,,1,2,4.68,,,7.22,9.20,14.13,2001,468,630,578,784,553
BA,2903003,Barra do Mendes,2,,,2,14.81,,,,29.74,,2001,386,577,585,705,465
BA,2903102,Barra do Rocha,1,1,1,,12.70,27.20,94.79,43.55,,,2001,572,721,695,807,668
BA,2903201,Barreiras,3,2,2,1,2.57,3.43,10.54,5.36,1.71,,2001,435,607,551,739,550
BA,2903235,Barro Alto,2,,,2,16.53,,,,32.38,,2001,421,610,574,786,503
BA,2903276,Barrocas,,,,,,,,,,,2001,421,602,576,744,508
BA,2903409,Belmonte,1,,,1,5.07,,,,9.99,,2001,441,598,577,771,480
BA,2903508,Belo Campo,1,,,1,5.54,,,,10.86,,2001,378,575,562,760,444
BA,2903607,Biritinga,,,,,,,,,,,2001,396,538,525,738,402
BA,2903706,Boa Nova,,,,,,,,,,,2001,319,567,535,753,453
BA,2903805,Boa Vista do Tupim,1,,,1,5.39,,,,10.53,,2001,365,551,514,729,447
BA,2903904,Bom Jesus da Lapa,1,1,,,1.82,3.63,,,,,2001,486,633,615,775,533
BA,2903953,Bom Jesus da Serra,,,,,,,,,,,2001,298,546,535,749,407
BA,2904001,Boninal,,,,,,,,,,,2001,436,612,564,789,514
BA,2904050,Bonito,,,,,,,,,,,2001,326,561,552,685,467
BA,2904100,Boquira,3,,1,3,13.40,,,16.28,27.21,32.01,2001,414,603,564,782,497
BA,2904209,Botuporã,,,,,,,,,,,2001,393,575,543,754,464
BA,2904308,Brejões,,,,,,,,,,,2001,437,597,560,775,490
BA,2904407,Brejolândia,,,,,,,,,,,2001,414,592,533,746,523
BA,2904506,Brotas de Macaúbas,2,,,2,15.57,,,,30.76,,2001,404,570,552,754,445
BA,2904605,Brumado,3,1,,2,4.82,3.17,,,6.52,,2001,519,656,630,807,554
BA,2904704,Buerarema,1,,1,1,5.29,,,19.12,10.54,38.54,2001,420,613,604,772,495
BA,2904753,Buritirama,,,,,,,,,,,2001,335,565,504,761,471
BA,2904803,Caatiba,,,,,,,,,,,2001,348,561,579,752,406
BA,2904852,Cabaceiras do Paraguaçu,,,,,,,,,,,2001,389,581,525,763,490
BA,2904902,Cachoeira,,,,,,,,,,,2001,516,647,615,762,577
BA,2905008,Caculé,,,,,,,,,,,2001,501,637,621,769,541
BA,2905107,Caém,,,,,,,,,,,2001,387,546,535,701,434
BA,2905156,Caetanos,,,,,,,,,,,2001,318,542,536,725,409
BA,2905206,Caetité,4,,1,4,8.73,,,7.80,17.67,15.67,2001,454,625,631,801,484
BA,2905305,Cafarnaum,,,,,,,,,,,2001,417,584,554,734,490
BA,2905404,Cairu,,,,,,,,,,,2001,437,627,600,807,510
BA,2905503,Caldeirão Grande,,,,,,,,,,,2001,397,573,526,758,473
BA,2905602,Camacan,1,,,1,3.30,,,,6.56,,2001,441,581,608,768,419
BA,2905701,Camaçari,8,3,4,5,4.79,3.60,3.58,7.19,5.98,10.82,2001,551,694,681,798,616
BA,2905800,Camamu,,,,,,,,,,,2001,377,565,562,710,452
